S.No.,Question,A,B,C,D,Correct
1,Tropical moist forests do not include,broadleaved forests,wet evergreen forests,semi-evergreen forests,moist deciduous forests,A
2,Which of these is not a use value?,direct value,indirect value,option value,existence value,D
3,The value derived from the knowledge of use of resources by others in the current generation is called,altruistic value,bequest value,existence value,option value,A
4,Montane sub-tropical forests do not include,broadleaved forests,pine forests,semi-evergreen forests,dry evergreen forests,C
5,"“Plant community, predominantly comprised of trees and other woody vegetation, usually with a closed canopy"" is",silvicultural definition of forests,FAO definition of forests,legal definition of forests,ecological definition of forests,D
6,Which of these is not a consumptive value?,timber,firewood,non-timber forest products,education,D
7,The term 'forest' originates from,Latin foris meaning outside,Greek foris meaning outside,Latin foris meaning trees,Greek foris meaning trees,A
8,The value of leaving use and non-use values for offspring's or future generations is called,altruistic value,bequest value,existence value,option value,B
9,Which of these is not a forest type found in India?,Mediterranean dry,Tropical dry,Montane temperate,Alpine,A
10,"According to the Supreme Court, the term forest land includes",some area recorded as forest in the Government record according to ownership,any area recorded as forest in the Government record according to ownership,some area recorded as forest in the Government record irrespective of ownership,any area recorded as forest in the Government record irrespective of ownership,D
11,"In the context of plant nutrition, boron is",macronutrient,micronutrient,primary nutrient,secondary nutrient,B
12,The art and science of cultivating forest crops is called,foresticulture,monoculture,silviculture,silvics,C
13,The climax near Tindni village is being controlled by disturbance by cattle. This is an example of,climatic climax,edaphic climax,disclimax,catastrophic climax,C
14,Which of these is not a characteristic of pioneer species,ability to grow on bare rocks,ability to tolerate extreme temperatures,large size,short life span,C
15,Which of these depicts correctly the lithosere primary succession?,Rock → Crustose lichen → Foliose lichen → Moss → Herbaceous stage → Shrub →Woodland → Climax,Rock → Foliose lichen → Crustose lichen → Moss → Herbaceous stage → Shrub →Woodland → Climax,Moss → Crustose lichen → Foliose lichen → Rock → Herbaceous stage → Shrub →Woodland → Climax,Rock → Crustose lichen → Foliose lichen → Shrub → Herbaceous stage → Moss →Woodland → Climax,A
16,The study of life history or general features of forest crops with respect to environmental factors is called,foresticulture,monoculture,silviculture,silvics,D
17,Net primary productivity is given by,APAR + LUE,APAR x LUE,APAR - LUE,APAR by LUE,B
18,A climax caused by wildfires is an example of,climatic climax,edaphic climax,disclimax,catastrophic climax,D
19,"Practical application of scientific, technical and economic principles of forestry comes under which branch of forestry?",forest management,forest economics,forest mensuration,forest protection,A
20,Which of these is abiotic factor?,vines,trees,reptiles,water,D
21,Regur is a term for,black cotton soil,alluvial soil,saline soil,red and yellow soil,A
22,Carbonation is an example of,chemical weathering,physical weathering,biological weathering,none of the above,A
23,Bangar is a type of,black cotton soil,alluvial soil,saline soil,red and yellow soil,B
24,Cryofracturing is an example of,chemical weathering,physical weathering,biological weathering,none of the above,B
25,"In soil profile, C refers to",organic surface layer,topsoil layer,subsoil layer,substratum layer,D
